Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
outputs | fastq | CM_26_R2	CM_26_R2.fastq.gz	Conventional base calls	Illumina 1.5	115186.0	34.3 Mbp	0.0	298.0	54.0	6.914034691716007	298.0	298	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_27_R1	CM_27_R1.fastq.gz	Conventional base calls	Illumina 1.5	118509.0	35 Mbp	0.0	296.0	53.0	2.431038992819111	296.0	296	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_27_R2	CM_27_R2.fastq.gz	Conventional base calls	Illumina 1.5	118509.0	35 Mbp	0.0	296.0	53.0	6.10670919508223	296.0	296	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_2_R2	CM_2_R2.fastq.gz	Conventional base calls	Illumina 1.5	156807.0	46.8 Mbp	0.0	299.0	51.0	3.1529204691117108	299.0	299	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_306_R2	CM_306_R2.fastq.gz	Conventional base calls	Illumina 1.5	129371.0	38.1 Mbp	0.0	295.0	54.0	6.7936399965989285	295.0	295	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_307_R1	CM_307_R1.fastq.gz	Conventional base calls	Illumina 1.5	77613.0	23.2 Mbp	0.0	300.0	53.0	3.621815932897839	300.0	300	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_310_R1	CM_310_R1.fastq.gz	Conventional base calls	Illumina 1.5	85146.0	25.3 Mbp	0.0	298.0	51.0	1.9989195029713667	298.0	298	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_310_R2	CM_310_R2.fastq.gz	Conventional base calls	Illumina 1.5	85146.0	25.2 Mbp	0.0	297.0	53.0	5.546942898080943	297.0	297	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_312_R2	CM_312_R2.fastq.gz	Conventional base calls	Illumina 1.5	109473.0	32.1 Mbp	0.0	294.0	56.0	7.336055465731277	294.0	294	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_313_R2	CM_313_R2.fastq.gz	Conventional base calls	Illumina 1.5	111384.0	33.4 Mbp	0.0	300.0	56.0	5.870681605975723	300.0	300	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
outputs | fastq | CM_314_R1	CM_314_R1.fastq.gz	Conventional base calls	Illumina 1.5	134336.0	39.8 Mbp	0.0	297.0	56.0	2.321045736064793	297.0	297	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
